SpatialScale,TimeScale,Gas,R2,RMSE,MAE,AOD
E,daily,Y,0.58,6.18,4.4,Y
E,daily,N,0.4,7.38,5.65,Y
E,Monthly_D,Y,0.61,4.79,3.38,Y
E,Monthly_D,N,-0.1,8.0,6.09,Y
E,Monthly,Y,0.57,5.02,2.8,Y
E,Monthly,N,0.53,5.24,3.3,Y
S,daily,Y,0.47,5.1,4.0,Y
S,daily,N,0.35,5.62,4.42,Y
S,Monthly_D,Y,0.59,2.98,2.45,Y
S,Monthly_D,N,0.37,3.67,2.85,Y
S,Monthly,Y,0.52,3.22,2.68,Y
S,Monthly,N,0.33,3.8,2.97,Y
W,daily,Y,0.48,7.58,5.75,Y
W,daily,N,0.25,9.1,6.7,Y
W,Monthly_D,Y,0.45,4.98,4.25,Y
W,Monthly_D,N,-0.46,8.1,6.64,Y
W,Monthly,Y,0.51,4.68,3.89,Y
W,Monthly,N,-0.05,6.86,5.42,Y
N,daily,Y,0.51,8.8,6.74,Y
N,daily,N,0.28,10.69,8.01,Y
N,Monthly_D,Y,0.58,6.06,4.98,Y
N,Monthly_D,N,0.03,9.16,7.85,Y
N,Monthly,Y,0.56,6.21,5.11,Y
N,Monthly,N,0.02,9.2,7.73,Y
A,daily,Y,0.75,7.19,5.29,Y
A,daily,N,0.67,8.19,6.01,Y
A,Monthly_D,Y,0.79,5.8,4.52,Y
A,Monthly_D,N,0.68,7.15,5.46,Y
A,Monthly,Y,0.81,5.55,4.37,Y
A,Monthly,N,0.71,6.74,5.09,Y
C,daily,Y,0.57,8.12,6.18,Y
C,daily,N,0.43,9.38,7.01,Y
C,Monthly_D,Y,0.58,6.35,5.01,Y
C,Monthly_D,N,0.27,8.36,6.89,Y
C,Monthly,Y,0.61,6.1,4.87,Y
C,Monthly,N,0.38,7.74,6.29,Y
E,daily,Y,0.39,7.44,5.54,N
E,Monthly_D,Y,0.33,6.23,4.6,N
E,Monthly,Y,0.31,6.34,4.25,N
S,daily,Y,0.33,5.72,4.44,N
S,Monthly_D,Y,0.35,3.74,3.17,N
S,Monthly,Y,0.37,3.69,3.14,N
W,daily,Y,0.29,8.85,6.71,N
W,Monthly_D,Y,0.45,4.98,4.25,N
W,Monthly,Y,0.51,4.71,3.9,N
N,daily,Y,0.41,9.68,7.28,N
N,Monthly_D,Y,0.62,5.72,4.65,N
N,Monthly,Y,0.59,5.95,4.75,N
A,daily,Y,0.66,8.33,6.06,N
A,Monthly_D,Y,0.77,6.07,4.67,N
A,Monthly,Y,0.78,5.88,4.46,N
C,daily,Y,0.44,9.33,7.01,N
C,Monthly_D,Y,0.58,6.39,4.95,N
C,Monthly,Y,0.64,5.91,4.62,N
